pLV,pLA,pSA,pSV,VLV,VLA,Qav,Qmv,Qs,Qsv
16.122652138149707,5.173583465467241,100.0,3.5871668713884604,500.0,20.0,-0.0,-0.0,0.0,0.0
17.094759835190857,1.0325619903540242,99.98308404395338,3.352082194906556,500.0,4.248616199666028,-0.0,-0.0,14.219834346853721,129.47973007398673
20.006345871134886,0.8934188409261045,99.83910888872526,3.266074945688852,500.0,3.06564001710803,-0.0,-0.0,58.20964227988072,136.382084500631
24.843222163988173,0.8890842965012499,99.51106704664389,3.2031032216319786,500.0,3.027640572460936,-0.0,-0.0,97.2762824604402,136.36094609071853
31.58181874309262,0.908470575699813,99.08198905814236,3.1421137691472665,500.0,3.1975933451432974,-0.0,-0.0,105.28440553669074,136.1122930387393
40.189298604971285,0.9332755122832994,98.6835680747823,3.08305918073705,500.0,3.4150496040465597,-0.0,-0.0,85.05293508941314,135.86040236038437
50.62371772718034,0.9603237809782589,98.3898768716766,3.0258930808182853,500.0,3.6521723759762343,-0.0,-0.0,58.57386406768223,135.49188332898555
62.8342294604252,0.9890930015063686,98.18100632784785,2.970569784445556,500.0,3.9043821345680203,-0.0,-0.0,46.15220838155758,134.99229708082447
76.76133230294158,1.0195527205551036,97.98322605263401,2.917044225118227,500.0,4.171411906214038,-0.0,-0.0,52.51498112720495,134.4442492503539
92.33715984974492,1.0517863241751513,97.73605194767757,2.8652722188203974,500.0,4.453992707442638,-0.0,-0.0,67.7945108957731,133.9429255233128
109.06032294070233,1.0859072663579616,98.60597785050128,2.8152107732698495,498.0585771002659,4.753119149969732,646.6635938477149,-0.0,109.98031694554848,133.53573541099198
126.19375080715064,1.122035348524133,101.2120428582553,2.766818340155774,492.48499107719744,5.069841491216735,999.6340920335867,-0.0,326.73498408386934,133.57748076059625
143.67615806336846,1.1602877350178915,103.87917961913689,2.720056212883045,484.917535345799,5.40518687027294,1261.696927859168,-0.0,651.9088651597876,134.96189915090133
161.24221562508987,1.200772797161096,106.26359518429672,2.674891404733094,475.74899690758826,5.760105340856264,1482.9513874809672,-0.0,919.1226731233911,138.11392734273517
178.60624192636462,1.2435860234930085,108.69460110008015,2.6312979697290633,465.213269945145,6.135434017806576,1672.263625464412,-0.0,1034.242887372472,142.61351838698266
195.49526942416074,1.2888071440472966,111.6503773875024,2.5892554246505597,453.5170224129924,6.531871866621536,1831.337129385612,-0.0,1025.6305475902034,147.63483729873954
211.6583898680449,1.3364978307409614,115.32790556738318,2.5487457674145997,440.85389206647204,6.94995954356549,1962.961887563401,-0.0,990.9831755196841,152.5753692690016
